"nb";"observedpowerLevene_median";"observedpowerLevene_mean"
"1";10;30.784;41.742
"2";15;51.6533;61.334
"3";20;70.5271;75.7687
"4";25;82.0486;85.4601
"5";30;89.7374;91.5302
"6";35;94.1815;95.243
"7";40;96.8466;97.3778
"8";45;98.2784;98.5843
"9";50;99.1007;99.2441
"10";55;99.5183;99.5995
"11";60;99.7569;99.7942
"12";65;99.8765;99.8951
"13";70;99.9373;99.9448
"14";75;99.9708;99.975
"15";80;99.9847;99.9866
